Лог сопоставления главы 03 (прямой построчный режим)
Китайских строк: 56, русских строк: 56
Проблем найдено: 0
======================================================================

#1
  ZH [6.49 - 10.46]  三、两个死对头。
  RU [1.95 - 3.47]  Три. Два заклятых врага.

#2
  ZH [11.53 - 14.94]  过了不长时间
  RU [4.85 - 6.15]  Прошло немного времени.

#3
  ZH [15.52 - 23.25]  我就知道我那打雁远近有名的爷爷
  RU [7.31 - 12.49]  Я тогда понял, что мой дедушка, известный далеко и близко своей охотой на гусей,

#4
  ZH [23.67 - 32.99]  为什么在看见这只头雁以后有点儿紧张了。
  RU [13.89 - 18.53]  почему после того, как увидел этого вожака гусей, немного занервничал.

#5
  ZH [33.27 - 40.51]  这天晚上十一点多,天黑极了,
  RU [19.79 - 23.79]  В этот вечер было больше одиннадцати часов, было очень темно,

#6
  ZH [40.77 - 45.3]  应该是大雁睡觉的时候了。
  RU [25.07 - 28.13]  должно быть, уже было время большим гусям спать.

#7
  ZH [46.51 - 57.6]  我和爷爷像以前一样,把枪包在一个很旧的大包里,
  RU [29.33 - 34.19]  Мы с дедушкой, как и раньше, завернули ружьё в одну очень старую большую сумку,

#8
  ZH [58.45 - 60.42]  慢慢地往……
  RU [35.78 - 37.14]  медленно пошли в сторону…

#9
  ZH [60.79 - 63.92]  村子西边的湿地走。
  RU [38.56 - 40.9]  заболоченных мест к западу от деревни.

#10
  ZH [65.69 - 78.0]  前面已经可以看见那些把头放在翅膀下睡觉的大雁了。
  RU [42.22 - 47.66]  Впереди уже можно было увидеть тех больших гусей, которые спали, положив головы под крылья.

#11
  ZH [78.72 - 82.12]  大雁真多啊!
  RU [49.38 - 51.18]  Больших гусей действительно много!

#12
  ZH [82.97 - 89.8]  爷爷高兴起来,找到一个合适的地方。
  RU [52.94 - 55.74]  Дедушка обрадовался и нашёл подходящее место.

#13
  ZH [91.29 - 98.52]  慢慢地去包里拿那只黑黑的老枪。
  RU [57.36 - 60.44]  Медленно стал доставать из сумки то старое чёрное ружьё.

#14
  ZH [100.29 - 107.42]  我知道,过一会儿,那只枪就会笑起来。
  RU [62.04 - 65.66]  Я знал, что через некоторое время это ружьё засмеётся.

#15
  ZH [108.8 - 115.32]  枪一笑,很多大雁就要死了。
  RU [67.16 - 71.26]  Как только ружьё засмеётся, много больших гусей должно будет умереть.

#16
  ZH [117.36 - 119.8]  可是没想到,
  RU [73.08 - 74.16]  Но неожиданно,

#17
  ZH [120.33 - 129.24]  爷爷刚拿出枪,那只头雁就一下大叫起来。
  RU [74.74 - 80.02]  дедушка только достал ружьё, как тот вожак гусей сразу громко закричал.

#18
  ZH [130.94 - 138.7]  我这才知道,除了少雁,头雁也没有睡觉。
  RU [81.68 - 85.62]  Только тогда я узнал, что кроме молодых гусей вожак тоже не спал.

#19
  ZH [139.22 - 143.87]  它站在一个很高的地方,
  RU [87.34 - 89.2]  Он стоял в очень высоком месте,

#20
  ZH [143.9 - 148.68]  很容易看见爷爷做的事。
  RU [90.78 - 93.94]  и ему было очень легко видеть то, что делает дедушка.

#21
  ZH [150.72 - 159.96]  大雁飞得太快了,一下就离我们很远了。
  RU [95.74 - 99.64]  Большие гуси летели слишком быстро и сразу оказались далеко от нас.

#22
  ZH [161.16 - 165.1]  爷爷没办法打到雁。
  RU [101.08 - 103.16]  Дедушка не мог попасть в гуся.

#23
  ZH [167.27 - 171.3]  到明天,你看着吧。
  RU [104.88 - 106.68]  До завтра, вот увидишь.

#24
  ZH [172.61 - 179.62]  爷爷对那只因为飞得高,离得远,
  RU [108.52 - 112.96]  Дедушка той, которая из-за того, что летела высоко и находилась далеко,

#25
  ZH [179.94 - 186.61]  所以看起来已经很小的头雁说,
  RU [114.72 - 118.36]  поэтому казалась уже очень маленькой, вожаку гусей сказал,

#26
  ZH [187.79 - 194.49]  然后很不高兴地带着我回了家。
  RU [120.16 - 122.52]  а затем очень недовольный повёл меня домой.

#27
  ZH [196.85 - 198.34]  四十年来,
  RU [124.21 - 125.17]  За сорок лет,

#28
  ZH [199.03 - 205.22]  这是爷爷的老枪第一次没有笑出来。
  RU [126.71 - 130.61]  это был первый раз, когда старое ружьё дедушки не засмеялось.

#29
  ZH [206.39 - 211.69]  爷爷第一次没有打到雁
  RU [132.33 - 134.21]  Дедушка впервые не попал в гуся.

#30
  ZH [214.0 - 219.46]  第二天,爷爷换了个办法。
  RU [135.65 - 137.91]  На следующий день дедушка сменил способ.

#31
  ZH [240.62 - 243.14]  就在那个旧包里。
  RU [139.56 - 141.26]  Именно в той старой сумке.

#32
  ZH [244.67 - 249.12]  晚上,看看时间不早了。
  RU [142.88 - 146.06]  Вечером, посмотрев, что время уже позднее.

#33
  ZH [250.17 - 256.74]  爷爷叫上我,一起慢慢走进湿地。
  RU [147.52 - 151.78]  Дедушка позвал меня, и мы вместе медленно вошли в заболоченное место.

#34
  ZH [259.75 - 263.86]  头雁还是没有睡觉,
  RU [153.62 - 155.38]  Вожак гусей всё ещё не спал,

#35
  ZH [265.26 - 270.08]  还是站在那个很高的地方。
  RU [157.0 - 159.28]  всё ещё стоял в том очень высоком месте.

#36
  ZH [271.44 - 276.66]  眼睛往东看看,往西看看,
  RU [160.85 - 164.11]  Глазами посмотрел на восток, посмотрел на запад,

#37
  ZH [277.93 - 282.39]  往南看看,往北看看。
  RU [165.77 - 168.21]  посмотрел на юг, посмотрел на север.

#38
  ZH [283.55 - 289.86]  我想,他可能就是在等着我们。
  RU [169.91 - 173.19]  Я подумал, возможно, он именно нас и ждал.

#39
  ZH [291.42 - 297.23]  爷爷不去看他,慢慢地站下,
  RU [174.85 - 178.13]  Дедушка не стал смотреть на него, медленно остановился,

#40
  ZH [298.06 - 300.12]  放好自行车。
  RU [179.67 - 180.87]  поставил велосипед.

#41
  ZH [301.12 - 304.41]  接着,慢慢地坐下。
  RU [182.63 - 183.95]  Затем медленно сел.

#42
  ZH [305.59 - 310.59]  然后,慢慢地拿那个旧包。
  RU [185.69 - 187.77]  Потом медленно взял ту старую сумку.

#43
  ZH [312.31 - 315.75]  看见爷爷拿旧包,
  RU [188.32 - 191.94]  Увидев, что дедушка взял старую сумку,

#44
  ZH [316.55 - 320.84]  头雁的眼睛好像更大了,
  RU [192.52 - 196.22]  глаза вожака гусей словно стали ещё больше,

#45
  ZH [321.72 - 325.26]  翅膀也像要飞一样。
  RU [196.96 - 200.4]  и крылья тоже словно собирались взлететь.

#46
  ZH [326.16 - 329.83]  可是,爷爷拿出一瓶水,
  RU [202.07 - 204.09]  Но дедушка достал бутылку воды,

#47
  ZH [329.86 - 332.2]  慢慢地坐下。 慢慢喝起来。
  RU [205.87 - 208.67]  медленно сел. Медленно начал пить.

#48
  ZH [333.02 - 336.62]  头雁一看,放下了翅膀。
  RU [210.39 - 213.65]  Вожак гусей, увидев это, опустил крылья.

