Лог сопоставления главы 10 (прямой построчный режим)
Китайских строк: 64, русских строк: 64
Проблем найдено: 0
======================================================================

#1
  ZH [7.4 - 12.16]  头雁又飞起来了。
  RU [1.81 - 3.63]  Вожак гусей снова полетел

#2
  ZH [13.4 - 17.47]  时间过得飞一样快。
  RU [4.54 - 7.19]  Время проходит так же быстро, как летит

#3
  ZH [17.71 - 22.94]  春天来了，天气暖和了。
  RU [8.03 - 10.21]  Пришла весна, погода потеплела

#4
  ZH [23.5 - 28.4]  大雁又开始往北边飞去。
  RU [11.17 - 13.41]  Гуси снова начали лететь на север

#5
  ZH [29.58 - 38.0]  头雁小白常常看着天上飞过的雁队想事儿。
  RU [14.2 - 19.09]  Вожак Сеабай часто смотрит на пролетающую в небе стаю гусей и думает о разных вещах

#6
  ZH [38.4 - 43.0]  黑黑的眼睛很大很大。
  RU [20.12 - 22.56]  Черные-черные глаза, очень-очень большие

#7
  ZH [44.05 - 50.0]  我知道，小白、小黄是大雁。
  RU [23.48 - 26.42]  Я знаю, Сеабай и Сеахуан, гуси

#8
  ZH [50.8 - 55.22]  大雁应该在天上飞。
  RU [27.34 - 29.1]  Гуси должны летать в небе

#9
  ZH [56.4 - 59.0]  特别是小白，
  RU [30.26 - 31.46]  Особенно Сеабай

#10
  ZH [59.5 - 65.0]  它是头雁，是只最好的头雁。
  RU [32.54 - 35.3]  Он, вожак, он самый лучший вожак

#11
  ZH [65.65 - 69.0]  它怎么能不想飞呢？
  RU [36.48 - 38.38]  Как же, он может не хотеть летать

#12
  ZH [69.33 - 74.21]  所以，我打算帮小白飞起来。
  RU [39.62 - 42.53]  Поэтому я решил помочь Сиобаю снова полететь

#13
  ZH [74.79 - 82.41]  小白的翅膀伤得很重，羽毛掉了很多。
  RU [43.66 - 47.37]  Крыло Сиобая было сильно повреждено, много перьев выпало

#14
  ZH [82.89 - 90.0]  现在刚刚开始长出很短的新羽毛。
  RU [48.81 - 52.17]  Теперь только-только начали вырастать очень короткие новые перья

#15
  ZH [90.75 - 95.0]  为让小白早一点儿飞起来，
  RU [53.41 - 56.21]  Чтобы Сиобай немного раньше снова смог полететь

#16
  ZH [96.0 - 102.16]  我先让它站在一张桌子上往下飞。
  RU [57.61 - 60.57]  Я сначала заставил его встать на стол и лететь вниз

#17
  ZH [103.65 - 109.13]  哪知道，因为翅膀坏了，运动得少，
  RU [61.93 - 66.35]  Кто бы мог знать, что из-за поврежденного крыла, поскольку он мало двигался

#18
  ZH [109.8 - 114.0]  小白一飞就掉下来。
  RU [67.66 - 70.94]  Сиабай, как только полетит, сразу падает вниз

#19
  ZH [114.85 - 120.29]  可是它一点儿都不怕疼，不怕难。
  RU [72.3 - 75.36]  Но он нисколько не боится боли и не боится трудностей

#20
  ZH [121.7 - 129.0]  我把它放到那张桌子上，想让它休息一会儿，
